warmup,run_id,message_id,source_row_id,source_timestamp_utc,client_started_at_utc,client_ended_at_utc,http_status,contract_ok,deadline_met,end_to_end_ms,server_processing_ms,storage_write_ms,client_network_overhead_ms,request_bytes,response_bytes,function_version,azure_received_at_utc,azure_persisted_at_utc,error
False,azure-live-20260802T165654Z,msg-00049,historical:022136,2026-05-20T16:55:22.478313600+00:00,2026-08-02T16:56:58.148+00:00,2026-08-02T16:56:58.193+00:00,200,True,True,45.135,7.521,7.268,37.614,555,610,v3.0-azure-live-replay,2026-08-02T16:56:58.317Z,2026-08-02T16:56:58.324Z,
False,azure-live-20260802T165654Z,msg-00050,historical:022587,2026-05-20T17:24:34.291409100+00:00,2026-08-02T16:56:58.194+00:00,2026-08-02T16:56:58.243+00:00,200,True,True,49.578,8.15,7.897,41.428,555,609,v3.0-azure-live-replay,2026-08-02T16:56:58.367Z,2026-08-02T16:56:58.375Z,
False,azure-live-20260802T165654Z,msg-00051,historical:023039,2026-05-20T17:54:15.510670800+00:00,2026-08-02T16:56:58.244+00:00,2026-08-02T16:56:58.308+00:00,200,True,True,63.647,8.912,8.649,54.735,555,610,v3.0-azure-live-replay,2026-08-02T16:56:58.413Z,2026-08-02T16:56:58.422Z,
False,azure-live-20260802T165654Z,msg-00052,historical:023491,2026-05-20T18:22:49.987752400+00:00,2026-08-02T16:56:58.309+00:00,2026-08-02T16:56:58.354+00:00,200,True,True,45.175,8.029,7.718,37.146,555,610,v3.0-azure-live-replay,2026-08-02T16:56:58.478Z,2026-08-02T16:56:58.486Z,
False,azure-live-20260802T165654Z,msg-00053,historical:023943,2026-05-20T18:53:35.959968200+00:00,2026-08-02T16:56:58.355+00:00,2026-08-02T16:56:58.403+00:00,200,True,True,47.983,9.061,8.803,38.922,555,610,v3.0-azure-live-replay,2026-08-02T16:56:58.525Z,2026-08-02T16:56:58.534Z,
False,azure-live-20260802T165654Z,msg-00054,historical:024395,2026-05-20T19:24:07.044670900+00:00,2026-08-02T16:56:58.405+00:00,2026-08-02T16:56:58.456+00:00,200,True,True,51.32,9.356,8.961,41.964,555,610,v3.0-azure-live-replay,2026-08-02T16:56:58.576Z,2026-08-02T16:56:58.585Z,
False,azure-live-20260802T165654Z,msg-00055,historical:024846,2026-05-20T19:54:11.099906900+00:00,2026-08-02T16:56:58.457+00:00,2026-08-02T16:56:58.503+00:00,200,True,True,46.38,8.077,7.819,38.303,555,610,v3.0-azure-live-replay,2026-08-02T16:56:58.626Z,2026-08-02T16:56:58.634Z,
False,azure-live-20260802T165654Z,msg-00056,historical:025298,2026-05-20T20:22:51.245955100+00:00,2026-08-02T16:56:58.504+00:00,2026-08-02T16:56:58.549+00:00,200,True,True,44.727,7.555,7.312,37.172,555,610,v3.0-azure-live-replay,2026-08-02T16:56:58.673Z,2026-08-02T16:56:58.681Z,
False,azure-live-20260802T165654Z,msg-00057,historical:025750,2026-05-20T20:53:00.541419500+00:00,2026-08-02T16:56:58.549+00:00,2026-08-02T16:56:58.594+00:00,200,True,True,44.242,7.566,7.324,36.676,555,610,v3.0-azure-live-replay,2026-08-02T16:56:58.717Z,2026-08-02T16:56:58.725Z,
False,azure-live-20260802T165654Z,msg-00058,historical:026202,2026-05-20T21:20:48.503526+00:00,2026-08-02T16:56:58.595+00:00,2026-08-02T16:56:58.640+00:00,200,True,True,45.554,7.534,7.286,38.02,552,610,v3.0-azure-live-replay,2026-08-02T16:56:58.764Z,2026-08-02T16:56:58.771Z,
